,listing_id,id,date,reviewer_id,reviewer_name,comments,positive,jieba,year
112482,1893673,426323787,2019-03-20,763934,Arthur,"Guy was really friendly. Took care of everything and checked in to make sure things were ok. The house has a friendly vibe, had a good set of people when I was there.",positive,"['guy', ' ', 'was', ' ', 'really', ' ', 'friendly', '.', ' ', 'took', ' ', 'care', ' ', 'of', ' ', 'everything', ' ', 'and', ' ', 'checked', ' ', 'in', ' ', 'to', ' ', 'make', ' ', 'sure', ' ', 'things', ' ', 'were', ' ', 'ok', '.', ' ', 'the', ' ', 'house', ' ', 'has', ' ', 'a', ' ', 'friendly', ' ', 'vibe', ',', ' ', 'had', ' ', 'a', ' ', 'good', ' ', 'set', ' ', 'of', ' ', 'people', ' ', 'when', ' ', 'i', ' ', 'was', ' ', 'there', '.']",2019
603929,18262153,643453363,2020-07-27,15306897,Yoshiko,"Marcus place has to be the best Airbnb I’ve ever stayed in. Marcus was so easy to communicate with from beginning to end. He’s just as sweet in person that I felt safe, secure, and almost like I’ve known him forever. The house was sparkling clean and had EVERYTHING you could ever need at your vacation home, like literally. I will forever use Marcus’ home when vacationing in LA!!! Thank you Marcus for going above and beyond our expectations.",positive,"['marcus', ' ', 'place', ' ', 'has', ' ', 'to', ' ', 'be', ' ', 'the', ' ', 'best', ' ', 'airbnb', ' ', 'i', '’', 've', ' ', 'ever', ' ', 'stayed', ' ', 'in', '.', ' ', 'marcus', ' ', 'was', ' ', 'so', ' ', 'easy', ' ', 'to', ' ', 'communicate', ' ', 'with', ' ', 'from', ' ', 'beginning', ' ', 'to', ' ', 'end', '.', ' ', 'he', '’', 's', ' ', 'just', ' ', 'as', ' ', 'sweet', ' ', 'in', ' ', 'person', ' ', 'that', ' ', 'i', ' ', 'felt', ' ', 'safe', ',', ' ', 'secure', ',', ' ', 'and', ' ', 'almost', ' ', 'like', ' ', 'i', '’', 've', ' ', 'known', ' ', 'him', ' ', 'forever', '.', ' ', 'the', ' ', 'house', ' ', 'was', ' ', 'sparkling', ' ', 'clean', ' ', 'and', ' ', 'had', ' ', 'everything', ' ', 'you', ' ', 'could', ' ', 'ever', ' ', 'need', ' ', 'at', ' ', 'your', ' ', 'vacation', ' ', 'home', ',', ' ', 'like', ' ', 'literally', '.', ' ', 'i', ' ', 'will', ' ', 'forever', ' ', 'use', ' ', 'marcus', '’', ' ', 'home', ' ', 'when', ' ', 'vacationing', ' ', 'in', ' ', 'la', '!', '!', '!', ' ', 'thank', ' ', 'you', ' ', 'marcus', ' ', 'for', ' ', 'going', ' ', 'above', ' ', 'and', ' ', 'beyond', ' ', 'our', ' ', 'expectations', '.']",2020
306180,8029446,631556881,2020-06-22,32150137,Daniel,"EJ's place was perfect. Included were every type of amenity necessary for a stay by the beach. We felt like we were in a hotel. I would highly recommend staying here if you are looking for an authentic stay by Venice beach. 
There was some misunderstanding about the parking situation, but EJ gave us the benefit of the doubt and allowed us to use his own personal spot and we are grateful.",positive,"['ej', ""'"", 's', ' ', 'place', ' ', 'was', ' ', 'perfect', '.', ' ', 'included', ' ', 'were', ' ', 'every', ' ', 'type', ' ', 'of', ' ', 'amenity', ' ', 'necessary', ' ', 'for', ' ', 'a', ' ', 'stay', ' ', 'by', ' ', 'the', ' ', 'beach', '.', ' ', 'we', ' ', 'felt', ' ', 'like', ' ', 'we', ' ', 'were', ' ', 'in', ' ', 'a', ' ', 'hotel', '.', ' ', 'i', ' ', 'would', ' ', 'highly', ' ', 'recommend', ' ', 'staying', ' ', 'here', ' ', 'if', ' ', 'you', ' ', 'are', ' ', 'looking', ' ', 'for', ' ', 'an', ' ', 'authentic', ' ', 'stay', ' ', 'by', ' ', 'venice', ' ', 'beach', '.', ' ', '\n', 'there', ' ', 'was', ' ', 'some', ' ', 'misunderstanding', ' ', 'about', ' ', 'the', ' ', 'parking', ' ', 'situation', ',', ' ', 'but', ' ', 'ej', ' ', 'gave', ' ', 'us', ' ', 'the', ' ', 'benefit', ' ', 'of', ' ', 'the', ' ', 'doubt', ' ', 'and', ' ', 'allowed', ' ', 'us', ' ', 'to', ' ', 'use', ' ', 'his', ' ', 'own', ' ', 'personal', ' ', 'spot', ' ', 'and', ' ', 'we', ' ', 'are', ' ', 'grateful', '.']",2020
40641,564353,171115351,2017-07-16,75297077,Devina,"The views were spectacular & Tricia was very nice. I liked the deck views & pretty well-kept, friendly neighborhood. The accommodations are modest and rustic cabin-like on the interior. Could use some improvements.  The overall experience was good. Linens were clean & good quality & the beds were comfortable in master bedroom. ",positive,"['the', ' ', 'views', ' ', 'were', ' ', 'spectacular', ' ', '&', ' ', 'tricia', ' ', 'was', ' ', 'very', ' ', 'nice', '.', ' ', 'i', ' ', 'liked', ' ', 'the', ' ', 'deck', ' ', 'views', ' ', '&', ' ', 'pretty', ' ', 'well', '-', 'kept', ',', ' ', 'friendly', ' ', 'neighborhood', '.', ' ', 'the', ' ', 'accommodations', ' ', 'are', ' ', 'modest', ' ', 'and', ' ', 'rustic', ' ', 'cabin', '-', 'like', ' ', 'on', ' ', 'the', ' ', 'interior', '.', ' ', 'could', ' ', 'use', ' ', 'some', ' ', 'improvements', '.', ' ', ' ', 'the', ' ', 'overall', ' ', 'experience', ' ', 'was', ' ', 'good', '.', ' ', 'linens', ' ', 'were', ' ', 'clean', ' ', '&', ' ', 'good', ' ', 'quality', ' ', '&', ' ', 'the', ' ', 'beds', ' ', 'were', ' ', 'comfortable', ' ', 'in', ' ', 'master', ' ', 'bedroom', '.', ' ']",2017
556659,16693531,336016461,2018-10-13,189125878,Kirstin,The place is tucked away on a side alley keeping a lot of the traffic noise away. It's easily located to all sorts of fun activities. There is shopping near by income you need something. It's the perfect place to end your fun filled days or start them with a cup of coffee enjoyed on the patio :),positive,"['the', ' ', 'place', ' ', 'is', ' ', 'tucked', ' ', 'away', ' ', 'on', ' ', 'a', ' ', 'side', ' ', 'alley', ' ', 'keeping', ' ', 'a', ' ', 'lot', ' ', 'of', ' ', 'the', ' ', 'traffic', ' ', 'noise', ' ', 'away', '.', ' ', 'it', ""'"", 's', ' ', 'easily', ' ', 'located', ' ', 'to', ' ', 'all', ' ', 'sorts', ' ', 'of', ' ', 'fun', ' ', 'activities', '.', ' ', 'there', ' ', 'is', ' ', 'shopping', ' ', 'near', ' ', 'by', ' ', 'income', ' ', 'you', ' ', 'need', ' ', 'something', '.', ' ', 'it', ""'"", 's', ' ', 'the', ' ', 'perfect', ' ', 'place', ' ', 'to', ' ', 'end', ' ', 'your', ' ', 'fun', ' ', 'filled', ' ', 'days', ' ', 'or', ' ', 'start', ' ', 'them', ' ', 'with', ' ', 'a', ' ', 'cup', ' ', 'of', ' ', 'coffee', ' ', 'enjoyed', ' ', 'on', ' ', 'the', ' ', 'patio', ' ', ':', ')']",2018
478797,14219095,713948946,2020-12-06,244808212,Bernard,Vanesa’s place was very clean and she was very friendly and accommodating. Her dog Taz was very friendly too. Would definitely stay here again!,positive,"['vanesa', '’', 's', ' ', 'place', ' ', 'was', ' ', 'very', ' ', 'clean', ' ', 'and', ' ', 'she', ' ', 'was', ' ', 'very', ' ', 'friendly', ' ', 'and', ' ', 'accommodating', '.', ' ', 'her', ' ', 'dog', ' ', 'taz', ' ', 'was', ' ', 'very', ' ', 'friendly', ' ', 'too', '.', ' ', 'would', ' ', 'definitely', ' ', 'stay', ' ', 'here', ' ', 'again', '!']",2020
86394,1257025,21120029,2014-10-12,11615080,Blaine,"Aina was always very responsive and positive about our trip.  The apartment is exactly as stated and is in a great location (couple of blocks away from 3rd St Promenade, the beach and the Santa Monica pier).  The apartment is on a beautiful street and in a neighbourhood that made us feel very safe with our kids.",positive,"['aina', ' ', 'was', ' ', 'always', ' ', 'very', ' ', 'responsive', ' ', 'and', ' ', 'positive', ' ', 'about', ' ', 'our', ' ', 'trip', '.', ' ', ' ', 'the', ' ', 'apartment', ' ', 'is', ' ', 'exactly', ' ', 'as', ' ', 'stated', ' ', 'and', ' ', 'is', ' ', 'in', ' ', 'a', ' ', 'great', ' ', 'location', ' ', '(', 'couple', ' ', 'of', ' ', 'blocks', ' ', 'away', ' ', 'from', ' ', '3rd', ' ', 'st', ' ', 'promenade', ',', ' ', 'the', ' ', 'beach', ' ', 'and', ' ', 'the', ' ', 'santa', ' ', 'monica', ' ', 'pier', ')', '.', ' ', ' ', 'the', ' ', 'apartment', ' ', 'is', ' ', 'on', ' ', 'a', ' ', 'beautiful', ' ', 'street', ' ', 'and', ' ', 'in', ' ', 'a', ' ', 'neighbourhood', ' ', 'that', ' ', 'made', ' ', 'us', ' ', 'feel', ' ', 'very', ' ', 'safe', ' ', 'with', ' ', 'our', ' ', 'kids', '.']",2014
487268,14521091,194066164,2017-09-15,14778186,Sriram,I really enjoyed my stay !!,positive,"['i', ' ', 'really', ' ', 'enjoyed', ' ', 'my', ' ', 'stay', ' ', '!', '!']",2017
89368,1309326,122601987,2016-12-24,92542654,Seungmin,"The house is near the hollywood walk of fame. It is easy to take subway. Also the host is really good. But if you are sensitive about noise, I don't want to recommend this house. ",positive,"['the', ' ', 'house', ' ', 'is', ' ', 'near', ' ', 'the', ' ', 'hollywood', ' ', 'walk', ' ', 'of', ' ', 'fame', '.', ' ', 'it', ' ', 'is', ' ', 'easy', ' ', 'to', ' ', 'take', ' ', 'subway', '.', ' ', 'also', ' ', 'the', ' ', 'host', ' ', 'is', ' ', 'really', ' ', 'good', '.', ' ', 'but', ' ', 'if', ' ', 'you', ' ', 'are', ' ', 'sensitive', ' ', 'about', ' ', 'noise', ',', ' ', 'i', ' ', 'don', ""'"", 't', ' ', 'want', ' ', 'to', ' ', 'recommend', ' ', 'this', ' ', 'house', '.', ' ']",2016
1033451,41183600,610622754,2020-02-24,192528285,Markus,"This place is perfect!! It was clean and tidy. It had everything I needed. Checking in was a breeze. The host was very helpful with whatever I needed but didn’t bother me! The location is also perfect! There’s restaurants, bars, parks all in walking distance but not far from Universal, Downtown and Hollywood. I had a great time and definitely will stay again when I come back in town!!",positive,"['this', ' ', 'place', ' ', 'is', ' ', 'perfect', '!', '!', ' ', 'it', ' ', 'was', ' ', 'clean', ' ', 'and', ' ', 'tidy', '.', ' ', 'it', ' ', 'had', ' ', 'everything', ' ', 'i', ' ', 'needed', '.', ' ', 'checking', ' ', 'in', ' ', 'was', ' ', 'a', ' ', 'breeze', '.', ' ', 'the', ' ', 'host', ' ', 'was', ' ', 'very', ' ', 'helpful', ' ', 'with', ' ', 'whatever', ' ', 'i', ' ', 'needed', ' ', 'but', ' ', 'didn', '’', 't', ' ', 'bother', ' ', 'me', '!', ' ', 'the', ' ', 'location', ' ', 'is', ' ', 'also', ' ', 'perfect', '!', ' ', 'there', '’', 's', ' ', 'restaurants', ',', ' ', 'bars', ',', ' ', 'parks', ' ', 'all', ' ', 'in', ' ', 'walking', ' ', 'distance', ' ', 'but', ' ', 'not', ' ', 'far', ' ', 'from', ' ', 'universal', ',', ' ', 'downtown', ' ', 'and', ' ', 'hollywood', '.', ' ', 'i', ' ', 'had', ' ', 'a', ' ', 'great', ' ', 'time', ' ', 'and', ' ', 'definitely', ' ', 'will', ' ', 'stay', ' ', 'again', ' ', 'when', ' ', 'i', ' ', 'come', ' ', 'back', ' ', 'in', ' ', 'town', '!', '!']",2020
254855,6288784,725672628,2021-01-20,201657953,Angie,"Gosh, where to start? 
It's such a clean and cozy space that my sister and I bemoaned having to leave it to move on to the next leg in our trip. It was also really convenient to have a washer & dryer in our unit (with detergent included!) and the bed gave us the best sleep in awhile! Would absolutely stay here again in the future!",positive,"['gosh', ',', ' ', 'where', ' ', 'to', ' ', 'start', '?', ' ', '\n', 'it', ""'"", 's', ' ', 'such', ' ', 'a', ' ', 'clean', ' ', 'and', ' ', 'cozy', ' ', 'space', ' ', 'that', ' ', 'my', ' ', 'sister', ' ', 'and', ' ', 'i', ' ', 'bemoaned', ' ', 'having', ' ', 'to', ' ', 'leave', ' ', 'it', ' ', 'to', ' ', 'move', ' ', 'on', ' ', 'to', ' ', 'the', ' ', 'next', ' ', 'leg', ' ', 'in', ' ', 'our', ' ', 'trip', '.', ' ', 'it', ' ', 'was', ' ', 'also', ' ', 'really', ' ', 'convenient', ' ', 'to', ' ', 'have', ' ', 'a', ' ', 'washer', ' ', '&', ' ', 'dryer', ' ', 'in', ' ', 'our', ' ', 'unit', ' ', '(', 'with', ' ', 'detergent', ' ', 'included', '!', ')', ' ', 'and', ' ', 'the', ' ', 'bed', ' ', 'gave', ' ', 'us', ' ', 'the', ' ', 'best', ' ', 'sleep', ' ', 'in', ' ', 'awhile', '!', ' ', 'would', ' ', 'absolutely', ' ', 'stay', ' ', 'here', ' ', 'again', ' ', 'in', ' ', 'the', ' ', 'future', '!']",2021
929999,32141756,446126395,2019-04-30,239683743,James,A centrally located place. Small and simple for a couple of nights in Santa Monica. Unfortunately the floors were incredibly dusty like they had not been cleaned in months. Otherwise the place was nice and simple and perfectly located. It just needs to be vacuumed every so often.,positive,"['a', ' ', 'centrally', ' ', 'located', ' ', 'place', '.', ' ', 'small', ' ', 'and', ' ', 'simple', ' ', 'for', ' ', 'a', ' ', 'couple', ' ', 'of', ' ', 'nights', ' ', 'in', ' ', 'santa', ' ', 'monica', '.', ' ', 'unfortunately', ' ', 'the', ' ', 'floors', ' ', 'were', ' ', 'incredibly', ' ', 'dusty', ' ', 'like', ' ', 'they', ' ', 'had', ' ', 'not', ' ', 'been', ' ', 'cleaned', ' ', 'in', ' ', 'months', '.', ' ', 'otherwise', ' ', 'the', ' ', 'place', ' ', 'was', ' ', 'nice', ' ', 'and', ' ', 'simple', ' ', 'and', ' ', 'perfectly', ' ', 'located', '.', ' ', 'it', ' ', 'just', ' ', 'needs', ' ', 'to', ' ', 'be', ' ', 'vacuumed', ' ', 'every', ' ', 'so', ' ', 'often', '.']",2019
