,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date
18435,18435,16363507,Quaint private casita. Reviews tell all. Serenity!,66500684,Juanita,Other Cities,Inglewood,33.95658322435953,-118.3233130116609,Entire home/apt,100.0,2,12,2017-12-15,0.63,1,310.0,2015-05-24 00:00:00
42019,42019,27483995,"Remodeled Pasadena House, 4 Beds, Metro",198639436,Winnie,Unincorporated Areas,East Pasadena,34.14323882385853,-118.08153045847008,Entire home/apt,100.0,1,0,,,2,80.0,2015-05-24 00:00:00
41761,41761,27398862,"BEST HOLLYWOOD LOCATION, BALCONY+FREE PARKING!!",25804016,Ashley,City of Los Angeles,Hollywood,34.092457971108075,-118.31375333205855,Entire home/apt,139.0,3,0,,,14,236.0,2015-05-24 00:00:00
39433,39433,26430770,Live a locals life in the heart of West LA (S),170082386,Torrey,City of Los Angeles,Sawtelle,34.04111279412466,-118.4607429543688,Entire home/apt,99.0,3,5,2018-08-02,4.17,7,77.0,2015-05-24 00:00:00
41581,41581,27314462,Hollywood Hills Mansion for Events + Studio,430827,Ben,City of Los Angeles,Hollywood Hills West,34.101432147411586,-118.37994828061105,Entire home/apt,2000.0,1,0,,,1,365.0,2015-05-24 00:00:00
33662,33662,23812695,Venice/santamonica/marinadelrey/LAX,178732084,Mike & Ira,Unincorporated Areas,Marina del Rey,33.974444489265295,-118.44485736262536,Entire home/apt,135.0,1,20,2018-08-02,4.65,1,137.0,2015-05-24 00:00:00
3243,3243,2846842,Ideal Family Home in Prime Santa Monica location!,9989221,Katherine,Other Cities,Santa Monica,34.011081262267034,-118.46515320736395,Entire home/apt,442.0,6,20,2018-07-29,0.69,2,303.0,2015-05-24 00:00:00
17804,17804,16005973,Spacious rustic loft bedroom,103927109,Ricca,Other Cities,La Mirada,33.92306297717894,-118.00075856394383,Private room,40.0,1,99,2018-07-08,4.77,1,44.0,2015-05-24 00:00:00
24153,24153,19821699,San Dimas nick house  with pool,135760375,Tianyang,Other Cities,San Dimas,34.08352183916564,-117.82677126372204,Shared room,68.0,1,0,,,2,0.0,2015-05-24 00:00:00
22128,22128,18784328,theLouis Vuitton Mini Apartment by Hollywood,4378151,"Nathalie, Stephen & Dave",Other Cities,Glendale,34.13903881193393,-118.25109857954727,Entire home/apt,49.0,1,45,2018-05-04,3.11,33,74.0,2015-05-24 00:00:00
25959,25959,20675433,Malibu Road Apartment,112926509,Eytan,Other Cities,Malibu,34.032833634508336,-118.7221075723081,Entire home/apt,1500.0,3,0,,,2,147.0,2015-05-24 00:00:00
8689,8689,8297623,Spacious Room in Heart of Hollywood,17744505,David,City of Los Angeles,Hollywood,34.09517658533288,-118.34028171325808,Private room,100.0,1,10,2016-06-29,0.32,1,88.0,2015-05-24 00:00:00
8121,8121,7663195,Hollywood Large Studio II,40225166,Chris,Other Cities,West Hollywood,34.092285493207314,-118.34355109099884,Entire home/apt,109.0,2,150,2018-07-29,4.11,16,315.0,2015-05-24 00:00:00
33861,33861,23903701,"Light, Bright and Brand New! Walk to Abbot Kinney",6924639,Amber,City of Los Angeles,Venice,33.9924198977436,-118.45398815577454,Entire home/apt,200.0,4,1,2018-07-15,1.0,1,61.0,2015-05-24 00:00:00
4381,4381,4061010,Cozy Apt In Venice Beach,1608108,Joshua,City of Los Angeles,Venice,33.988874561595985,-118.45063207727657,Entire home/apt,75.0,2,97,2018-05-05,2.04,1,0.0,2015-05-24 00:00:00
12967,12967,12795427,MidCentury Dream House in Pasadena,7590839,Jae,Other Cities,Pasadena,34.16615740127753,-118.0809960418533,Entire home/apt,650.0,2,33,2018-07-15,1.32,1,282.0,2015-05-24 00:00:00
27275,27275,21201730,"Westside Convenience, Modern Comfort near LAX",12884161,Sterling,City of Los Angeles,Westchester,33.95860971470873,-118.38458303877202,Entire home/apt,180.0,2,24,2018-07-29,3.21,1,338.0,2015-05-24 00:00:00
20877,20877,18024702,Living room in quiet house near Retro Row & beach,31181628,Taj,Other Cities,Long Beach,33.76656334267925,-118.15626794874429,Private room,42.0,3,17,2018-03-23,1.18,5,0.0,2015-05-24 00:00:00
14166,14166,13590080,Gorgeous Beach Getaway near LAX,10900710,Ryan,City of Los Angeles,Playa del Rey,33.95436221528416,-118.43995488568324,Private room,49.0,3,4,2016-07-16,0.16,1,0.0,2015-05-24 00:00:00
20022,20022,17500531,Beach cottage in Long Beach,30318593,Hannah,Other Cities,Long Beach,33.76462486556506,-118.15704469473276,Entire home/apt,105.0,1,150,2018-07-31,8.89,1,293.0,2015-05-24 00:00:00
6260,6260,5969530,Luxurious Apartment with Rooftop Basketball Court,30850484,LEVEL Furnished Living,City of Los Angeles,Downtown,34.044775512325224,-118.25724692868216,Entire home/apt,409.0,1,18,2018-05-29,0.78,25,174.0,2015-05-24 00:00:00
27479,27479,21282748,Delightful Venice beach unit D,42614517,Barak,City of Los Angeles,Venice,33.989157217082166,-118.47350487590666,Entire home/apt,100.0,2,49,2018-08-05,5.19,2,147.0,2015-05-24 00:00:00
2418,2418,1894105,Hollywood Courtyard Garden Bungalow,9843837,Michael,City of Los Angeles,Hollywood,34.09471467864451,-118.33953704232228,Entire home/apt,115.0,3,147,2018-07-16,3.05,5,326.0,2015-05-24 00:00:00
23072,23072,19297401,Spacious Studio Getaway in the Heart of LA,12162346,Cathy,City of Los Angeles,Mid-City,34.03882543508534,-118.3775134760329,Entire home/apt,84.0,2,21,2018-07-06,1.58,2,153.0,2015-05-24 00:00:00
13181,13181,12952753,Hollywood Hills Guest House Near Universal Studios,39829946,David,City of Los Angeles,Hollywood Hills,34.127710437163415,-118.3510725729314,Entire home/apt,125.0,2,107,2018-08-02,4.23,1,155.0,2015-05-24 00:00:00
34442,34442,24141681,Garden Oasis near Universal Studios- Sleeps 6,83397726,Mike,City of Los Angeles,North Hills,34.22173125400039,-118.46776436106538,Entire home/apt,169.0,3,8,2018-07-22,2.45,1,133.0,2015-05-24 00:00:00
25535,25535,20460420,Light House,146066123,Robert,Unincorporated Areas,South Whittier,33.94590263616807,-118.03568475671798,Entire home/apt,75.0,1,0,,,1,0.0,2015-05-24 00:00:00
31936,31936,23063894,The Dream-Directly accross street from Beach!,157633627,Mark,Other Cities,Long Beach,33.766572877426,-118.18308678474902,Entire home/apt,149.0,1,33,2018-07-31,5.82,15,168.0,2015-05-24 00:00:00
24793,24793,20094805,Brand New Luxury Home l Lake Views,142901534,Edward,City of Los Angeles,Silver Lake,34.0960311349807,-118.26699292848107,Entire home/apt,425.0,1,22,2018-07-23,1.89,5,151.0,2015-05-24 00:00:00
35524,35524,24649895,2BDR 1Bath Entire Apartment by the Beach,120097950,Diego,Other Cities,Hermosa Beach,33.86903678344172,-118.39413256054355,Entire home/apt,176.0,3,2,2018-07-19,1.82,2,205.0,2015-05-24 00:00:00
21136,21136,18180374,Great Apartment in the Heart of Hollywood+Parking,8864885,Ekaterina,City of Los Angeles,Hollywood,34.09379294544544,-118.34020145843994,Entire home/apt,115.0,2,48,2018-07-22,3.1,2,141.0,2015-05-24 00:00:00
38255,38255,25943489,Casita Bonita,8178950,Mari,City of Los Angeles,Studio City,34.14547375935875,-118.38637285942332,Private room,40.0,3,1,2018-07-27,1.0,1,113.0,2015-05-24 00:00:00
11568,11568,11414235,PRIVATE STUDIO IN THE HEART OF WEHO,59929461,Maurice,Other Cities,West Hollywood,34.08923498044928,-118.36520522842078,Private room,70.0,3,30,2017-05-30,1.03,1,0.0,2015-05-24 00:00:00
13515,13515,13174769,"Few miles away from LAX, Beaches, and Malls!",55178318,Rafay,Other Cities,Torrance,33.87185994543463,-118.34375786602055,Private room,50.0,1,91,2018-08-04,3.43,4,354.0,2015-05-24 00:00:00
2937,2937,2437648,"Beautifully Updated, Central, Safe Condo",8680483,Angela,City of Los Angeles,Hollywood,34.10341445900924,-118.35024978406612,Entire home/apt,151.0,29,17,2018-05-01,0.34,1,297.0,2015-05-24 00:00:00
39946,39946,26639244,NOVO1331 - 2BR/2BATH IN DTLA,198861577,Novo,City of Los Angeles,Westlake,34.05197599531066,-118.26740857896648,Entire home/apt,230.0,30,0,,,1,88.0,2015-05-24 00:00:00
42218,42218,27543920,Robertson & Ceader Sinai bright lush 2bed/ 2bath,19976283,Laura,City of Los Angeles,Beverly Grove,34.07530546908126,-118.3834376787066,Entire home/apt,200.0,30,0,,,9,175.0,2015-05-24 00:00:00
10980,10980,10682139,Home with Front Patio near Beach,1757749,Donna,Other Cities,Santa Monica,34.02420295564101,-118.49543358780846,Entire home/apt,289.0,31,8,2018-08-01,0.4,14,279.0,2015-05-24 00:00:00
20408,20408,17749800,Prime location in Hollywood .,106954113,Tammy,City of Los Angeles,Hollywood,34.09669026590894,-118.34750974779848,Entire home/apt,3600.0,1,0,,,1,0.0,2015-05-24 00:00:00
10696,10696,10297660,WILLARDZ - Venue Hall,42389873,Deshun,City of Los Angeles,Gramercy Park,33.95371946961315,-118.30518932444392,Entire home/apt,150.0,1,0,,,6,362.0,2015-05-24 00:00:00
11154,11154,10924341,Hotel Style Private Guest House w/King Bed,9162816,Erica & Greg,City of Los Angeles,Glassell Park,34.11946754521656,-118.22509854581726,Entire home/apt,98.0,2,120,2018-07-28,3.99,2,32.0,2015-05-24 00:00:00
18648,18648,16465797,2 BED + 2 BATH CLOSE TO LARCHMONT VILLAGE,41881230,Amber And Matt,City of Los Angeles,Hollywood,34.087534195583494,-118.33243110991884,Entire home/apt,200.0,1,90,2018-07-22,4.74,33,346.0,2015-05-24 00:00:00
35249,35249,24518091,RETRO BAMBOO BEACH LOUNGE,4508488,Aunt Betty,City of Los Angeles,Venice,33.978439277060794,-118.46428450898426,Entire home/apt,225.0,2,13,2018-07-12,3.79,6,151.0,2015-05-24 00:00:00
41298,41298,27231352,"Tiny, yet charming in the heart of DTLA",201893067,Miesha,City of Los Angeles,Downtown,34.03811753329186,-118.26971671703974,Entire home/apt,115.0,1,1,2018-08-06,1.0,1,77.0,2015-05-24 00:00:00
20020,20020,17500201,New! Fits 6 people. In the heart of HOLLYWOOD,188765,Anita,City of Los Angeles,Hollywood,34.1047397642262,-118.31290382641778,Entire home/apt,199.0,2,14,2018-01-01,1.03,2,0.0,2015-05-24 00:00:00
25447,25447,20416367,"Resort Style, Walk to the Beach",3843940,Jacob,City of Los Angeles,Del Rey,33.98366619277594,-118.43521775567214,Entire home/apt,300.0,1,3,2018-07-15,0.35,28,361.0,2015-05-24 00:00:00
29655,29655,22084891,Hollywood Contemporary,157825903,Caroleen,City of Los Angeles,Hollywood Hills West,34.10516746885853,-118.35666491980142,Entire home/apt,1700.0,3,0,,,9,2.0,2015-05-24 00:00:00
33130,33130,23597405,Cozy Hippie Van,176452907,Diego,City of Los Angeles,Venice,33.99104326644479,-118.46835415187492,Private room,63.0,1,0,,,1,0.0,2015-05-24 00:00:00
585,585,441901,Old Hollywood charm in prime location,2161282,Martha,City of Los Angeles,Hollywood,34.086048961514216,-118.3388072670032,Entire home/apt,196.0,2,19,2017-04-13,0.26,2,0.0,2015-05-24 00:00:00
37675,37675,25568851,Newly Renovated Boho Chic Beach Condo! 2Bed/2Ba,10955703,Crystal,Other Cities,Long Beach,33.76601310054209,-118.17728968969668,Entire home/apt,123.0,29,4,2018-07-29,2.86,2,52.0,2015-05-24 00:00:00
23938,23938,19716304,Spacious Apartment in AMAZING location,101537031,T.L.C.,City of Los Angeles,Hollywood Hills,34.10461639889408,-118.34255187841296,Entire home/apt,85.0,30,1,2017-08-18,0.08,39,72.0,2015-05-24 00:00:00
15834,15834,14667926,Super convenience LUXURY 3BE/3BA,28575618,Leona,Other Cities,West Covina,34.01389309048187,-117.88563870490223,Entire home/apt,199.0,29,10,2018-02-19,0.44,7,350.0,2015-05-24 00:00:00
12523,12523,11833916,Boutique Silverlake 2bed/2bath Townhouse,2226278,Kev,City of Los Angeles,Silver Lake,34.07840467436013,-118.28106740358471,Entire home/apt,145.0,2,7,2018-03-18,0.77,2,215.0,2015-05-24 00:00:00
11981,11981,11298111,"Private bedroom, Dog-friendly w/ large backyard!",10397761,Jeff,Other Cities,West Hollywood,34.07892808999391,-118.3821502134607,Private room,85.0,5,0,,,2,0.0,2015-05-24 00:00:00
21130,21130,17419611,Spacious DTLA Arts District Prime Location,62469361,Genevieve,City of Los Angeles,Downtown,34.04615122681475,-118.23363072664864,Entire home/apt,145.0,2,24,2018-03-09,1.73,1,177.0,2015-05-24 00:00:00
34369,34369,23002548,Westwood Loft,9150856,Enrique,City of Los Angeles,Westwood,34.05219329717332,-118.44195834904346,Entire home/apt,130.0,3,2,2018-04-02,1.05,1,362.0,2015-05-24 00:00:00
16109,16109,14250043,Los Feliz -  1 Bedroom Apartment,2611022,Andrew,City of Los Angeles,Los Feliz,34.110797933167554,-118.28006393200958,Entire home/apt,129.0,4,0,,,1,0.0,2015-05-24 00:00:00
32757,32757,22356287,"Affordable, Comfortable, Clean, Convenient (1B)",58494722,Richard,Other Cities,San Gabriel,34.094551392695706,-118.10035447963034,Private room,49.0,1,6,2018-04-29,1.78,5,79.0,2015-05-24 00:00:00
8235,8235,7464349,"Month+ Stay in a Bright, Spanish Style House in West Hollywood",3993838,Barb,Other Cities,West Hollywood,34.09129988609007,-118.34768710750642,Entire home/apt,178.0,31,143,2018-04-22,4.26,1,251.0,2015-05-24 00:00:00
17061,17061,14919883,"Private Room, lots of light, walkin closet R20",1466173,Kelly,City of Los Angeles,Westlake,34.05348769749961,-118.27973447277031,Private room,45.0,3,14,2018-04-13,0.71,26,343.0,2015-05-24 00:00:00
23825,23825,18913607,BEAUTIFUL MASTER BEDROOM IN LOS ANGELES /HOLLYWOOD,2513435,Kevin,City of Los Angeles,Fairfax,34.07959307733472,-118.35515972461,Private room,75.0,2,25,2018-04-29,2.18,2,6.0,2015-05-24 00:00:00
28594,28594,20960659,Cozy Private Bedroom,150767432,Armine,Other Cities,Glendale,34.14507307263333,-118.24992823324132,Private room,45.0,1,12,2018-04-19,1.61,1,89.0,2015-05-24 00:00:00
21908,21908,17896365,Fancy Brand new bedroom JPL/Caltech/Old Town -1B,121561227,Carina,Other Cities,Pasadena,34.1405526204167,-118.11198933137288,Private room,70.0,2,10,2017-12-01,0.73,5,295.0,2015-05-24 00:00:00
12573,12573,11872676,Blue Anchor Inn -a relaxing getaway,35504008,Inga,City of Los Angeles,San Pedro,33.70832107320805,-118.2905685150464,Entire home/apt,79.0,5,10,2018-02-14,0.47,1,244.0,2015-05-24 00:00:00
8985,8985,8230919,Heart of Weho Bubble,43400271,Xavier,Other Cities,West Hollywood,34.08846073924884,-118.37940713659178,Private room,100.0,30,106,2016-11-29,3.26,2,363.0,2015-05-24 00:00:00
25750,25750,19792656,Cozy and Comfy private room.,12745513,Aleksey,City of Los Angeles,Northridge,34.233489977495786,-118.54090878300084,Private room,60.0,1,3,2017-10-15,0.32,4,348.0,2015-05-24 00:00:00
2463,2463,1885962,Hollywood Hotel Owners Suite *201*,9811903,Heather,City of Los Angeles,East Hollywood,34.10104871867576,-118.30634077483924,Entire home/apt,199.0,1,274,2018-04-23,5.34,4,268.0,2015-05-24 00:00:00
35184,35184,23315705,Eighth Ave Condos Studio 4,8534462,Nadia,City of Los Angeles,Downtown,34.040446567027466,-118.25142208570186,Entire home/apt,165.0,2,2,2018-03-17,1.03,44,324.0,2015-05-24 00:00:00
15860,15860,14105944,Beautiful 1 bedroom in the heart of Hollywood.,84786850,Sylvia,City of Los Angeles,Hollywood,34.10272388805112,-118.33494624236492,Entire home/apt,119.0,2,5,2016-11-20,0.25,1,0.0,2015-05-24 00:00:00
9889,9889,9088306,Silver lake House & Garden Abode,16293648,Dagmarette+Alec,City of Los Angeles,Silver Lake,34.079574928404114,-118.2769913645662,Entire home/apt,335.0,2,6,2017-01-03,0.2,1,35.0,2015-05-24 00:00:00
10829,10829,9944596,Beach House Modern Design w/ Rooftop Views!,51107329,Lorena,City of Los Angeles,Playa del Rey,33.96208820462201,-118.45169352755684,Entire home/apt,229.0,2,30,2018-03-05,1.1,3,14.0,2015-05-24 00:00:00
25792,25792,19808955,Location!  Malibu Beachfront Next to Nobu,25551648,Vacation Inn LA,Other Cities,Malibu,34.03955719763428,-118.67354832406392,Entire home/apt,1500.0,31,0,,,47,365.0,2015-05-24 00:00:00
922,922,666636,Small Simple Private Room in MidCity LA,2324191,Elis,City of Los Angeles,Mid-City,34.04209952055531,-118.34615851728871,Private room,45.0,1,54,2018-04-03,0.81,17,365.0,2015-05-24 00:00:00
13303,13303,12493969,"comfortable room with a  closet, access to kitchen",43717487,Alfredo,Unincorporated Areas,Vincent,34.10854720670468,-117.91990843128973,Private room,38.0,1,1,2018-04-20,1.0,1,203.0,2015-05-24 00:00:00
32785,32785,22361376,New Urban Condo In The Heart Of Trendy Weho,163469944,Ronald,Other Cities,West Hollywood,34.08379133094041,-118.37753123953163,Entire home/apt,299.0,3,11,2018-04-15,2.52,1,49.0,2015-05-24 00:00:00
8117,8117,7362770,"Charming guest house, newly redone",9165888,Joseph,City of Los Angeles,Sherman Oaks,34.158970149071045,-118.46616172081572,Entire home/apt,109.0,3,24,2017-08-21,0.72,1,301.0,2015-05-24 00:00:00
6682,6682,6121930,Private room4 full over full bunk,30906832,Harry,City of Los Angeles,Harvard Heights,34.04560151657615,-118.30406015623085,Private room,45.0,1,188,2018-04-16,5.1,7,315.0,2015-05-24 00:00:00
36431,36431,23752676,The Ideal get away.,23468837,Louie,Other Cities,La Habra Heights,33.9547709181813,-117.97139989241604,Entire home/apt,87.0,2,7,2018-05-01,4.77,7,341.0,2015-05-24 00:00:00
24406,24406,19200475,Monterey park downtown 3bed&1.5bath,78130006,Cat,Other Cities,Monterey Park,34.06390942500626,-118.11999119593744,Entire home/apt,130.0,3,2,2018-01-28,0.2,14,361.0,2015-05-24 00:00:00
28408,28408,20902862,Beautiful townhouse New furniture,141795368,Honglin,Other Cities,Alhambra,34.0864388605917,-118.12027734912652,Private room,68.0,3,0,,,1,0.0,2015-05-24 00:00:00
24873,24873,19405164,Fully facilitated 1BR stay + perfect location,372457,Adrian,City of Los Angeles,Del Rey,33.989265050471026,-118.41202059018671,Entire home/apt,300.0,3,15,2018-04-07,2.34,1,0.0,2015-05-24 00:00:00
69,69,33773,3+2 LUXURY CONDO nr CHATEAU MARMONT,70344,Duke & Van,Other Cities,West Hollywood,34.0952188943827,-118.36602314003925,Entire home/apt,269.0,1,62,2017-04-21,0.8,9,280.0,2015-05-24 00:00:00
11811,11811,11105768,"1 bed private bath, 300 mbps, West LA and quiet",18849014,Jeffrey,City of Los Angeles,Sawtelle,34.041781827366805,-118.45013414793056,Private room,89.0,10,1,2017-10-31,0.16,1,99.0,2015-05-24 00:00:00
15200,15200,13729191,Large space in your budget close to SIX FLAGS!!!,78538856,Paris,Unincorporated Areas,Unincorporated Santa Susana Mountains,34.42262596405345,-118.58663044758109,Shared room,35.0,1,0,,,1,365.0,2015-05-24 00:00:00
36136,36136,23652977,1 Sunny Private Bedroom in West LA,32633484,Emily,City of Los Angeles,Palms,34.02431910450843,-118.42615364714604,Private room,75.0,1,6,2018-05-02,6.0,1,2.0,2015-05-24 00:00:00
6732,6732,6171735,Family Getaway Close to All!,1383191,Jennifer,Other Cities,Culver City,34.02036528905107,-118.38781198381982,Entire home/apt,295.0,4,9,2018-04-28,1.81,3,221.0,2015-05-24 00:00:00
7394,7394,6717254,Great location 超级无敌方便两房公寓,30317654,Phoebe & Mike,Unincorporated Areas,Hacienda Heights,33.98880965252826,-117.93624573702756,Entire home/apt,149.0,5,50,2018-04-01,1.42,1,13.0,2015-05-24 00:00:00
38799,38799,24649315,Bright and quiet room in apartment complex,186280286,Cindy,Other Cities,Downey,33.93132347408738,-118.16108510272238,Private room,75.0,1,0,,,1,88.0,2015-05-24 00:00:00
1956,1956,1407208,Hollywood Hills Colonial Craftsman,970048,Nataya,City of Los Angeles,Hollywood Hills,34.10624942130972,-118.3157654400936,Entire home/apt,125.0,1,77,2018-04-12,1.32,9,250.0,2015-05-24 00:00:00
20220,20220,16779528,Eagle Rock Nest.  Private bungalow/studio.,1139821,Andrea,City of Los Angeles,Eagle Rock,34.13518977403745,-118.19691128255435,Entire home/apt,110.0,2,89,2018-04-26,5.66,1,108.0,2015-05-24 00:00:00
10185,10185,9347493,Amazing RANCHQ LOS FELIZ,48510533,Gregrey,City of Los Angeles,Downtown,34.05128315887493,-118.2443049660922,Entire home/apt,275.0,3,0,,,1,0.0,2015-05-24 00:00:00
3815,3815,3372289,Oct. DEAL $50nt discount Venice/SM beach house,16513823,Dc,Other Cities,Santa Monica,34.00138281821746,-118.48072345107356,Entire home/apt,350.0,3,6,2017-07-25,0.13,2,312.0,2015-05-24 00:00:00
4311,4311,3883071,M CASA LOS PINOS   bedroom and bath,20076782,William,City of Los Angeles,North Hollywood,34.17397262636165,-118.36600427757706,Private room,70.0,2,104,2017-08-17,2.31,4,365.0,2015-05-24 00:00:00
31191,31191,21847372,Naples Island Bedroom w private entry and WiFi.,112938085,Sindy,Other Cities,Long Beach,33.752514134560506,-118.11861984373677,Private room,52.0,2,25,2018-05-04,5.24,1,333.0,2015-05-24 00:00:00
1168,1168,828216,222F Lux Suite Near UCLA Westside on Westwood Blvd,3392276,Amir,City of Los Angeles,West Los Angeles,34.048255763406026,-118.43778061348392,Entire home/apt,100.0,5,19,2018-03-31,0.48,38,172.0,2015-05-24 00:00:00
23810,23810,18903366,LUXURY 1BD - TOP LOCATION (PLAYA-MARINA-LAX),78557280,Helena,City of Los Angeles,Playa Vista,33.978058086509506,-118.41659453012164,Entire home/apt,159.0,1,0,,,14,361.0,2015-05-24 00:00:00
32071,32071,22108285,LA Hillside Retreat 3 br 2.5 bath,140134940,Tatiana,City of Los Angeles,Baldwin Hills/Crenshaw,34.01113104434378,-118.3543407056324,Entire home/apt,155.0,1,29,2018-05-06,6.35,1,278.0,2015-05-24 00:00:00
15020,15020,13641186,1BD Close to ocean and restaurants,79145149,Ashley,Other Cities,Santa Monica,34.026022348071464,-118.49128694450512,Entire home/apt,165.0,2,27,2018-05-06,1.2,1,360.0,2015-05-24 00:00:00
2200,2200,1659223,Your Own Private House Near the Grove/3rd Street,8762032,Jodyne,City of Los Angeles,Beverly Grove,34.07457525588228,-118.36586321830144,Entire home/apt,262.0,3,36,2018-03-17,0.66,1,357.0,2015-05-24 00:00:00
7967,7967,7208202,Casa Los Pinos Room 2,20076782,William,City of Los Angeles,North Hollywood,34.17369554162632,-118.36667575614555,Private room,45.0,2,20,2018-03-15,0.62,4,335.0,2015-05-24 00:00:00
35750,35750,23526453,Amazing Private Bedroom with Full Bath,9691674,Nicole,Other Cities,Glendale,34.15393039003475,-118.25942516545612,Private room,50.0,1,5,2018-04-29,2.54,1,224.0,2015-05-24 00:00:00
23974,23974,18996504,!!!Amazing room Hollywood/K-Town/DTLA!!!,132516448,Halyna,City of Los Angeles,Hollywood,34.087848906402705,-118.309349964141,Private room,55.0,1,22,2018-02-26,1.97,22,178.0,2015-05-24 00:00:00
2306,2306,1745826,DESIGNER inspired 1 Bed Room (better than a hotel),9188646,Rana,City of Los Angeles,Valley Glen,34.173697499535734,-118.39673154141953,Private room,115.0,1,0,,,1,88.0,2015-05-24 00:00:00
21877,21877,17879559,Downtown LA Oasis Resort Style 2BR/2BA Suite,17981722,Austin,City of Los Angeles,Downtown,34.06122172578639,-118.24495075725332,Entire home/apt,249.0,1,7,2018-04-25,0.58,57,12.0,2015-05-24 00:00:00
36491,36491,23772217,Clean,166846976,Joe,City of Los Angeles,Valley Glen,34.19517758651228,-118.42703787878608,Private room,55.0,1,5,2018-04-20,,2,143.0,2015-05-24 00:00:00
16074,16074,14234266,Newly Remodeled Artist Guest House w High Ceiling,54685936,Nima,City of Los Angeles,Tarzana,34.18430898139736,-118.55794340864684,Entire home/apt,79.0,3,27,2018-05-04,3.1,4,302.0,2015-05-24 00:00:00
29022,29022,21124384,Luxury Master Suite | Spanish Villa | Killer Views,152066478,Jeff,Other Cities,Torrance,33.80452518881787,-118.36533105223096,Private room,199.0,1,0,,,3,0.0,2015-05-24 00:00:00
22397,22397,18159917,Temple city客厅单人床2,106170251,Zihao,Other Cities,Temple City,34.093683194293135,-118.05776608677284,Shared room,16.0,1,24,2018-02-21,1.83,7,355.0,2015-05-24 00:00:00
4961,4961,4440003,"Enjoy Mountain Views from Bright, Spacious Retreat",8258320,Keller,City of Los Angeles,Silver Lake,34.09790549871144,-118.25944486412143,Entire home/apt,150.0,3,48,2018-04-20,1.17,8,76.0,2015-05-24 00:00:00
35597,35597,23472549,Quiet 1BD just a few steps away from the Ocean,6342935,Anastasia,Unincorporated Areas,Marina del Rey,33.97917887489389,-118.45987315730864,Entire home/apt,150.0,2,0,,,1,0.0,2015-05-24 00:00:00
25486,25486,19674029,*TEST* Luxurious Callabasas Room for Extended Stay,137869758,Stephen,Other Cities,Calabasas,34.1503784126884,-118.63345422208532,Private room,200.0,4,0,,,1,363.0,2015-05-24 00:00:00
36094,36094,23646220,Hollywood 1 bedroom with balcony!,20896089,Paula,City of Los Angeles,Hollywood,34.089317491804444,-118.31345069383433,Entire home/apt,95.0,2,4,2018-04-04,2.22,1,8.0,2015-05-24 00:00:00
31662,31662,21984768,Walk to Beach Private RoomnBath in 3 bd/2bath home,148148628,Adelita,Other Cities,Long Beach,33.773973525657745,-118.16329024748242,Private room,100.0,1,22,2018-05-07,4.71,1,174.0,2015-05-24 00:00:00
33512,33512,22637041,The First and only Airbnb boutique on Abbot Kinney,14365675,I&K,City of Los Angeles,Venice,33.98863402348426,-118.4562117043988,Private room,99.0,1,23,2018-05-05,7.11,17,356.0,2015-05-24 00:00:00
15945,15945,14159969,Hollywood Condo,64425305,Posh,City of Los Angeles,Hollywood,34.09853046673436,-118.33575591683484,Entire home/apt,125.0,1,26,2018-04-09,1.58,2,308.0,2015-05-24 00:00:00
19697,19697,16451397,"5 bedroom, 5000sf house for the Rose Bowl Game",62695335,Chris,Other Cities,La Canada Flintridge,34.19593443322663,-118.19603025375648,Entire home/apt,2500.0,4,0,,,1,0.0,2015-05-24 00:00:00
33524,33524,22643531,one of a kind getaway,150622345,Osko Estate,City of Los Angeles,Hollywood Hills West,34.105266668328184,-118.37037885686016,Entire home/apt,1400.0,3,0,,,7,324.0,2015-05-24 00:00:00
27876,27876,20710616,"Cozy and Beautiful ""Corner Room"" Near Downtown LA",148251572,Magnolia,City of Los Angeles,Pico-Union,34.048790377298246,-118.28537584682996,Private room,40.0,2,26,2018-04-03,3.56,4,114.0,2015-05-24 00:00:00
26431,26431,20072749,Modern Hollywood Home Near Everything W/ Parking!,23437035,Nico & Riko,City of Los Angeles,Hollywood,34.08726423344214,-118.34057269808548,Entire home/apt,250.0,1,32,2018-04-25,3.39,10,144.0,2015-05-24 00:00:00
38560,38560,24544091,420 friendly USC house for Artists and Travelers,183759647,Yoshi,City of Los Angeles,University Park,34.02972297611278,-118.28404960545842,Shared room,20.0,1,5,2018-05-06,5.0,16,50.0,2015-05-24 00:00:00
31786,31786,22017973,West Hollywood Room For Rent,21855038,Shai,City of Los Angeles,Hollywood,34.09607177993124,-118.35279403066268,Private room,65.0,5,0,,,1,87.0,2015-05-24 00:00:00
23481,23481,18737212,The MDR Marina,36553320,David,City of Los Angeles,Venice,33.986542755413815,-118.44423592348056,Private room,99.0,7,3,2018-02-19,0.35,1,179.0,2015-05-24 00:00:00
15600,15600,13942175,Luxury Stay w/Private Bath by Universal Theme Park,40891449,Soniq,City of Los Angeles,North Hollywood,34.16528471666183,-118.37067442389367,Private room,65.0,1,13,2018-04-24,0.87,1,169.0,2015-05-24 00:00:00
